id,装备等级,装备品质,前缀名称,掉落权重,增加属性,增加数值,,,,,,
,每10级用不同的前缀属性；1到10级取10级,,,每个等级段为一个分组,属性字典,,,,,,,
,,,,,,,,,,,,
1,10,0,活力之,50,1,10,,,,,,
2,20,0,活力之,50,1,20,,,,,,
3,30,0,活力之,50,1,34,,,,,,
4,40,0,活力之,50,1,53,,,,,,
5,50,0,活力之,50,1,76,,,,,,
6,60,0,活力之,50,1,103,,,,,,
7,10,0,力量之,50,3,1,,,,,,
8,20,0,力量之,50,3,3,,,,,,
9,30,0,力量之,50,3,5,,,,,,
10,40,0,力量之,50,3,7,,,,,,
11,50,0,力量之,50,3,10,,,,,,
12,60,0,力量之,50,3,14,,,,,,
13,20,0,守护之,50,4,1,,,,,,
14,30,0,守护之,50,4,2,,,,,,
15,40,0,守护之,50,4,3,,,,,,
16,50,0,守护之,50,4,4,,,,,,
17,60,0,守护之,50,4,6,,,,,,
18,10,0,能量之,50,5,1,,,,,,
19,20,0,能量之,50,5,3,,,,,,
20,30,0,能量之,50,5,5,,,,,,
21,40,0,能量之,50,5,7,,,,,,
22,50,0,能量之,50,5,10,,,,,,
23,60,0,能量之,50,5,14,,,,,,
24,20,0,金骨之,50,6,1,,,,,,
25,30,0,金骨之,50,6,2,,,,,,
26,40,0,金骨之,50,6,3,,,,,,
27,50,0,金骨之,50,6,4,,,,,,
28,60,0,金骨之,50,6,6,,,,,,
29,10,0,凝神之,50,7,1,,,,,,
30,20,0,凝神之,50,7,2,,,,,,
31,30,0,凝神之,50,7,4,,,,,,
32,40,0,凝神之,50,7,7,,,,,,
33,50,0,凝神之,50,7,10,,,,,,
34,60,0,凝神之,50,7,13,,,,,,
35,10,0,灵巧之,50,8,1,,,,,,
36,20,0,灵巧之,50,8,2,,,,,,
37,30,0,灵巧之,50,8,4,,,,,,
38,40,0,灵巧之,50,8,7,,,,,,
39,50,0,灵巧之,50,8,10,,,,,,
40,60,0,灵巧之,50,8,13,,,,,,
41,10,0,残暴之,50,9,1,,,,,,
42,20,0,残暴之,50,9,2,,,,,,
43,30,0,残暴之,50,9,4,,,,,,
44,40,0,残暴之,50,9,7,,,,,,
45,50,0,残暴之,50,9,10,,,,,,
46,60,0,残暴之,50,9,13,,,,,,
47,10,0,裂甲之,50,10,1,,,,,,
48,20,0,裂甲之,50,10,2,,,,,,
49,30,0,裂甲之,50,10,4,,,,,,
50,40,0,裂甲之,50,10,7,,,,,,
51,50,0,裂甲之,50,10,10,,,,,,
52,60,0,裂甲之,50,10,13,,,,,,
53,10,0,洞穿之,50,11,1,,,,,,
54,20,0,洞穿之,50,11,2,,,,,,
55,30,0,洞穿之,50,11,4,,,,,,
56,40,0,洞穿之,50,11,7,,,,,,
57,50,0,洞穿之,50,11,10,,,,,,
58,60,0,洞穿之,50,11,13,,,,,,
59,10,1,再生之,40,1,12,,,,,,
60,20,1,再生之,40,1,25,,,,,,
61,30,1,再生之,40,1,43,,,,,,
62,40,1,再生之,40,1,67,,,,,,
63,50,1,再生之,40,1,95,,,,,,
64,60,1,再生之,40,1,129,,,,,,
65,10,1,野蛮之,40,3,2,,,,,,
66,20,1,野蛮之,40,3,4,,,,,,
67,30,1,野蛮之,40,3,6,,,,,,
68,40,1,野蛮之,40,3,9,,,,,,
69,50,1,野蛮之,40,3,13,,,,,,
70,60,1,野蛮之,40,3,17,,,,,,
71,10,1,庇护之,40,4,1,,,,,,
72,20,1,庇护之,40,4,2,,,,,,
73,30,1,庇护之,40,4,3,,,,,,
74,40,1,庇护之,40,4,4,,,,,,
75,50,1,庇护之,40,4,6,,,,,,
76,60,1,庇护之,40,4,8,,,,,,
77,10,1,神力之,40,5,2,,,,,,
78,20,1,神力之,40,5,4,,,,,,
79,30,1,神力之,40,5,6,,,,,,
80,40,1,神力之,40,5,9,,,,,,
81,50,1,神力之,40,5,13,,,,,,
82,60,1,神力之,40,5,17,,,,,,
83,10,1,磐石之,40,6,1,,,,,,
84,20,1,磐石之,40,6,2,,,,,,
85,30,1,磐石之,40,6,3,,,,,,
86,40,1,磐石之,40,6,4,,,,,,
87,50,1,磐石之,40,6,6,,,,,,
88,60,1,磐石之,40,6,8,,,,,,
89,10,1,会心之,40,7,2,,,,,,
90,20,1,会心之,40,7,3,,,,,,
91,30,1,会心之,40,7,6,,,,,,
92,40,1,会心之,40,7,9,,,,,,
93,50,1,会心之,40,7,12,,,,,,
94,60,1,会心之,40,7,17,,,,,,
95,10,1,灵敏之,40,8,2,,,,,,
96,20,1,灵敏之,40,8,3,,,,,,
97,30,1,灵敏之,40,8,6,,,,,,
98,40,1,灵敏之,40,8,9,,,,,,
99,50,1,灵敏之,40,8,12,,,,,,
100,60,1,灵敏之,40,8,17,,,,,,
101,10,1,狂怒之,40,9,2,,,,,,
102,20,1,狂怒之,40,9,3,,,,,,
103,30,1,狂怒之,40,9,6,,,,,,
104,40,1,狂怒之,40,9,9,,,,,,
105,50,1,狂怒之,40,9,12,,,,,,
106,60,1,狂怒之,40,9,17,,,,,,
107,10,1,削甲之,40,10,2,,,,,,
108,20,1,削甲之,40,10,3,,,,,,
109,30,1,削甲之,40,10,6,,,,,,
110,40,1,削甲之,40,10,9,,,,,,
111,50,1,削甲之,40,10,12,,,,,,
112,60,1,削甲之,40,10,17,,,,,,
113,10,1,透切之,40,11,2,,,,,,
114,20,1,透切之,40,11,3,,,,,,
115,30,1,透切之,40,11,6,,,,,,
116,40,1,透切之,40,11,9,,,,,,
117,50,1,透切之,40,11,12,,,,,,
118,60,1,透切之,40,11,17,,,,,,
119,10,2,自然之,30,1,14,,,,,,
120,20,2,自然之,30,1,30,,,,,,
121,30,2,自然之,30,1,52,,,,,,
122,40,2,自然之,30,1,80,,,,,,
123,50,2,自然之,30,1,114,,,,,,
124,60,2,自然之,30,1,155,,,,,,
125,10,2,蓄力之,30,3,2,,,,,,
126,20,2,蓄力之,30,3,4,,,,,,
127,30,2,蓄力之,30,3,7,,,,,,
128,40,2,蓄力之,30,3,11,,,,,,
129,50,2,蓄力之,30,3,15,,,,,,
130,60,2,蓄力之,30,3,20,,,,,,
131,10,2,守卫之,30,4,1,,,,,,
132,20,2,守卫之,30,4,2,,,,,,
133,30,2,守卫之,30,4,3,,,,,,
134,40,2,守卫之,30,4,5,,,,,,
135,50,2,守卫之,30,4,7,,,,,,
136,60,2,守卫之,30,4,9,,,,,,
137,10,2,咒法之,30,5,2,,,,,,
138,20,2,咒法之,30,5,4,,,,,,
139,30,2,咒法之,30,5,7,,,,,,
140,40,2,咒法之,30,5,11,,,,,,
141,50,2,咒法之,30,5,15,,,,,,
142,60,2,咒法之,30,5,20,,,,,,
143,10,2,不灭之,30,6,1,,,,,,
144,20,2,不灭之,30,6,2,,,,,,
145,30,2,不灭之,30,6,3,,,,,,
146,40,2,不灭之,30,6,5,,,,,,
147,50,2,不灭之,30,6,7,,,,,,
148,60,2,不灭之,30,6,9,,,,,,
149,10,2,专注之,30,7,2,,,,,,
150,20,2,专注之,30,7,4,,,,,,
151,30,2,专注之,30,7,7,,,,,,
152,40,2,专注之,30,7,10,,,,,,
153,50,2,专注之,30,7,14,,,,,,
154,60,2,专注之,30,7,20,,,,,,
155,10,2,敏捷之,30,8,2,,,,,,
156,20,2,敏捷之,30,8,4,,,,,,
157,30,2,敏捷之,30,8,7,,,,,,
158,40,2,敏捷之,30,8,10,,,,,,
159,50,2,敏捷之,30,8,14,,,,,,
160,60,2,敏捷之,30,8,20,,,,,,
161,10,2,狂暴之,30,9,2,,,,,,
162,20,2,狂暴之,30,9,4,,,,,,
163,30,2,狂暴之,30,9,7,,,,,,
164,40,2,狂暴之,30,9,10,,,,,,
165,50,2,狂暴之,30,9,14,,,,,,
166,60,2,狂暴之,30,9,20,,,,,,
167,10,2,解甲之,30,10,2,,,,,,
168,20,2,解甲之,30,10,4,,,,,,
169,30,2,解甲之,30,10,7,,,,,,
170,40,2,解甲之,30,10,10,,,,,,
171,50,2,解甲之,30,10,14,,,,,,
172,60,2,解甲之,30,10,20,,,,,,
173,10,2,深透之,30,11,2,,,,,,
174,20,2,深透之,30,11,4,,,,,,
175,30,2,深透之,30,11,7,,,,,,
176,40,2,深透之,30,11,10,,,,,,
177,50,2,深透之,30,11,14,,,,,,
178,60,2,深透之,30,11,20,,,,,,
179,10,3,生长之,25,1,19,,,,,,
180,20,3,生长之,25,1,40,,,,,,
181,30,3,生长之,25,1,69,,,,,,
182,40,3,生长之,25,1,106,,,,,,
183,50,3,生长之,25,1,152,,,,,,
184,60,3,生长之,25,1,206,,,,,,
185,10,3,强悍之,25,3,2,,,,,,
186,20,3,强悍之,25,3,6,,,,,,
187,30,3,强悍之,25,3,10,,,,,,
188,40,3,强悍之,25,3,14,,,,,,
189,50,3,强悍之,25,3,20,,,,,,
190,60,3,强悍之,25,3,27,,,,,,
191,10,3,保卫之,25,4,1,,,,,,
192,20,3,保卫之,25,4,2,,,,,,
193,30,3,保卫之,25,4,4,,,,,,
194,40,3,保卫之,25,4,6,,,,,,
195,50,3,保卫之,25,4,9,,,,,,
196,60,3,保卫之,25,4,12,,,,,,
197,10,3,灵力之,25,5,2,,,,,,
198,20,3,灵力之,25,5,6,,,,,,
199,30,3,灵力之,25,5,10,,,,,,
200,40,3,灵力之,25,5,14,,,,,,
201,50,3,灵力之,25,5,20,,,,,,
202,60,3,灵力之,25,5,27,,,,,,
203,10,3,金汤之,25,6,1,,,,,,
204,20,3,金汤之,25,6,2,,,,,,
205,30,3,金汤之,25,6,4,,,,,,
206,40,3,金汤之,25,6,6,,,,,,
207,50,3,金汤之,25,6,9,,,,,,
208,60,3,金汤之,25,6,12,,,,,,
209,10,3,会神之,25,7,2,,,,,,
210,20,3,会神之,25,7,5,,,,,,
211,30,3,会神之,25,7,9,,,,,,
212,40,3,会神之,25,7,14,,,,,,
213,50,3,会神之,25,7,19,,,,,,
214,60,3,会神之,25,7,26,,,,,,
215,10,3,轻灵之,25,8,2,,,,,,
216,20,3,轻灵之,25,8,5,,,,,,
217,30,3,轻灵之,25,8,9,,,,,,
218,40,3,轻灵之,25,8,14,,,,,,
219,50,3,轻灵之,25,8,19,,,,,,
220,60,3,轻灵之,25,8,26,,,,,,
221,10,3,暴烈之,25,9,2,,,,,,
222,20,3,暴烈之,25,9,5,,,,,,
223,30,3,暴烈之,25,9,9,,,,,,
224,40,3,暴烈之,25,9,14,,,,,,
225,50,3,暴烈之,25,9,19,,,,,,
226,60,3,暴烈之,25,9,26,,,,,,
227,10,3,熔甲之,25,10,2,,,,,,
228,20,3,熔甲之,25,10,5,,,,,,
229,30,3,熔甲之,25,10,9,,,,,,
230,40,3,熔甲之,25,10,14,,,,,,
231,50,3,熔甲之,25,10,19,,,,,,
232,60,3,熔甲之,25,10,26,,,,,,
233,10,3,透辟之,25,11,2,,,,,,
234,20,3,透辟之,25,11,5,,,,,,
235,30,3,透辟之,25,11,9,,,,,,
236,40,3,透辟之,25,11,14,,,,,,
237,50,3,透辟之,25,11,19,,,,,,
238,60,3,透辟之,25,11,26,,,,,,
239,10,4,滋养之,15,1,24,,,,,,
240,20,4,滋养之,15,1,50,,,,,,
241,30,4,滋养之,15,1,86,,,,,,
242,40,4,滋养之,15,1,133,,,,,,
243,50,4,滋养之,15,1,190,,,,,,
244,60,4,滋养之,15,1,258,,,,,,
245,10,4,蛮横之,15,3,3,,,,,,
246,20,4,蛮横之,15,3,7,,,,,,
247,30,4,蛮横之,15,3,12,,,,,,
248,40,4,蛮横之,15,3,18,,,,,,
249,50,4,蛮横之,15,3,25,,,,,,
250,60,4,蛮横之,15,3,34,,,,,,
251,10,4,守御之,15,4,1,,,,,,
252,20,4,守御之,15,4,3,,,,,,
253,30,4,守御之,15,4,5,,,,,,
254,40,4,守御之,15,4,8,,,,,,
255,50,4,守御之,15,4,11,,,,,,
256,60,4,守御之,15,4,15,,,,,,
257,10,4,玄门之,15,5,3,,,,,,
258,20,4,玄门之,15,5,7,,,,,,
259,30,4,玄门之,15,5,12,,,,,,
260,40,4,玄门之,15,5,18,,,,,,
261,50,4,玄门之,15,5,25,,,,,,
262,60,4,玄门之,15,5,34,,,,,,
263,10,4,金身之,15,6,1,,,,,,
264,20,4,金身之,15,6,3,,,,,,
265,30,4,金身之,15,6,5,,,,,,
266,40,4,金身之,15,6,8,,,,,,
267,50,4,金身之,15,6,11,,,,,,
268,60,4,金身之,15,6,15,,,,,,
269,10,4,意会之,15,7,3,,,,,,
270,20,4,意会之,15,7,6,,,,,,
271,30,4,意会之,15,7,11,,,,,,
272,40,4,意会之,15,7,17,,,,,,
273,50,4,意会之,15,7,24,,,,,,
274,60,4,意会之,15,7,33,,,,,,
275,10,4,灵动之,15,8,3,,,,,,
276,20,4,灵动之,15,8,6,,,,,,
277,30,4,灵动之,15,8,11,,,,,,
278,40,4,灵动之,15,8,17,,,,,,
279,50,4,灵动之,15,8,24,,,,,,
280,60,4,灵动之,15,8,33,,,,,,
281,10,4,暴怒之,15,9,3,,,,,,
282,20,4,暴怒之,15,9,6,,,,,,
283,30,4,暴怒之,15,9,11,,,,,,
284,40,4,暴怒之,15,9,17,,,,,,
285,50,4,暴怒之,15,9,24,,,,,,
286,60,4,暴怒之,15,9,33,,,,,,
287,10,4,蚀甲之,15,10,3,,,,,,
288,20,4,蚀甲之,15,10,6,,,,,,
289,30,4,蚀甲之,15,10,11,,,,,,
290,40,4,蚀甲之,15,10,17,,,,,,
291,50,4,蚀甲之,15,10,24,,,,,,
292,60,4,蚀甲之,15,10,33,,,,,,
293,10,4,破云之,15,11,3,,,,,,
294,20,4,破云之,15,11,6,,,,,,
295,30,4,破云之,15,11,11,,,,,,
296,40,4,破云之,15,11,17,,,,,,
297,50,4,破云之,15,11,24,,,,,,
298,60,4,破云之,15,11,33,,,,,,
