道具ID,道具名称,出售价格,堆叠上限,道具品质,存在时间,需求等级,能否使用,批量使用,合成目标ID,物品大类,物品小类,参数1,参数2,参数3,基础属性1,数值,基础属性2,数值,基础属性3,数值,基础属性4,数值,套装ID,外观ID,掉落图标,使用后提示,图标,物品描述,备注
,,,,0=白色 1=绿色 2=蓝色 3=紫色 4=橙色,持续状态:0表示永久存在；>1则表示道具从获取到消失之间的时间(单位:秒),,0不能 1能,0不能 1能,,物品字典,物品字典,物品字典,物品字典,物品字典,,,,,,,,,,,,不能使用回车和半角的逗号,,不能使用回车和半角的逗号,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,绝学1,30,99,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
114,绝学2,30,99,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
115,绝学3,30,99,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
116,绝学4,30,99,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
117,绝学5,30,99,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
12000100,归真剑,3000,1,0,0,1,0,0,12000110,0,2,20,0,0,1,200,2,0.2,3,100,4,0.2,0,1,ItemIcon/12001.png,0,ItemIcon/12001.png,修仙常用剑，淳真之剑气利于修行。,物攻武器1级品质0
22101030,玄清拂,4368,1,3,0,10,0,0,0,0,2,20,0,0,5,20,6,0.2,7,10,8,0.2,2101030,4,ItemIcon/22010.png,0,ItemIcon/22010.png,玄清整洁，衣服就像新的一样。,法攻武器10级品质3(副本套装)
32101030,重玄刀,4368,1,3,0,10,0,0,0,0,2,20,0,0,9,50,10,0.2,11,50,12,0.2,3101030,3,ItemIcon/32010.png,0,ItemIcon/32010.png,玄之又玄，感觉萌萌哒。,防御武器10级品质3(副本套装)
42101030,玄黄扇,4368,1,3,0,10,0,0,0,0,2,20,0,0,11,50,12,0.2,13,50,14,0.2,4101030,9,ItemIcon/42010.png,0,ItemIcon/42010.png,天地玄黄，宇宙洪荒。遥远的过去谁还记得？,治疗武器10级品质3(副本套装)
41106040,妖王之怒袍,5456,1,4,0,60,0,0,0,0,1,20,0,0,15,50,16,0.2,17,0.2,18,0.2,4106040,10,ItemIcon/41060.png,0,ItemIcon/41060.png,妖王的允诺，散发王者的味道。,治疗衣服60级品质4(副本套装)
51000001,翅膀外观1,1,1,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
51000002,翅膀外观2,1,1,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
51000003,翅膀外观2,1,1,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
52000001,器灵外观1,1,1,4,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
52000002,器灵外观2,1,1,4,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
53000001,时装,1,1,4,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,ItemIcon/11060.png,0,ItemIcon/11060.png,这里填汉字,
53100002,时装,1,1,4,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,ItemIcon/21060.png,0,ItemIcon/31060.png,这里填汉字,
53200003,时装,1,1,4,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,ItemIcon/49060.png,0,ItemIcon/49060.png,这里填汉字,
60100101,持续回血药1级,2,99,0,0,1,1,0,0,1,0,20001,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/4.png,这里填汉字,
60100102,持续回血药10级,2,99,0,0,10,1,0,0,1,0,20001,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/4.png,这里填汉字,
60100103,持续回血药20级,2,99,0,0,20,1,0,0,1,0,20001,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/4.png,这里填汉字,
60100104,持续回血药30级,2,99,0,0,30,1,0,0,1,0,20001,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/4.png,这里填汉字,
60100105,持续回血药40级,2,99,0,0,40,1,0,0,1,0,20001,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/4.png,这里填汉字,
60100106,持续回血药50级,2,99,0,0,50,1,0,0,1,0,20001,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/4.png,这里填汉字,
60100107,持续回血药60级,2,99,0,0,60,1,0,0,1,0,20001,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/4.png,这里填汉字,
60200101,瞬间回血药1级,1,99,0,0,1,1,0,0,1,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/4.png,这里填汉字,
60200102,瞬间回血药10级,1,99,0,0,10,1,0,0,1,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/4.png,这里填汉字,
60200103,瞬间回血药20级,1,99,0,0,20,1,0,0,1,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/4.png,这里填汉字,
60200104,瞬间回血药30级,1,99,0,0,30,1,0,0,1,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/4.png,这里填汉字,
60200105,瞬间回血药40级,1,99,0,0,40,1,0,0,1,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/4.png,这里填汉字,
60200106,瞬间回血药50级,1,99,0,0,50,1,0,0,1,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/4.png,这里填汉字,
60200107,瞬间回血药60级,1,99,0,0,60,1,0,0,1,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/4.png,这里填汉字,
61100101,持续回蓝药1级,1,99,0,0,1,1,0,0,1,2,20002,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/3.png,0,ItemIcon/5.png,这里填汉字,
61100102,持续回蓝药10级,1,99,0,0,10,1,0,0,1,2,20002,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/3.png,0,ItemIcon/5.png,这里填汉字,
61100103,持续回蓝药20级,1,99,0,0,20,1,0,0,1,2,20002,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/3.png,0,ItemIcon/5.png,这里填汉字,
61100104,持续回蓝药30级,1,99,0,0,30,1,0,0,1,2,20002,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/3.png,0,ItemIcon/5.png,这里填汉字,
61100105,持续回蓝药40级,1,99,0,0,40,1,0,0,1,2,20002,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/3.png,0,ItemIcon/5.png,这里填汉字,
61100106,持续回蓝药50级,1,99,0,0,50,1,0,0,1,2,20002,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/3.png,0,ItemIcon/5.png,这里填汉字,
61100107,持续回蓝药60级,1,99,0,0,60,1,0,0,1,2,20002,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/3.png,0,ItemIcon/5.png,这里填汉字,
61200101,瞬间回蓝药1级,1,99,0,0,1,1,0,0,1,3,1000,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/5.png,这里填汉字,
61200102,瞬间回蓝药10级,1,99,0,0,10,1,0,0,1,3,1000,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/5.png,这里填汉字,
61200103,瞬间回蓝药20级,1,99,0,0,20,1,0,0,1,3,1000,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/5.png,这里填汉字,
61200104,瞬间回蓝药30级,1,99,0,0,30,1,0,0,1,3,1000,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/5.png,这里填汉字,
61200105,瞬间回蓝药40级,1,99,0,0,40,1,0,0,1,3,1000,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/5.png,这里填汉字,
61200106,瞬间回蓝药50级,1,99,0,0,50,1,0,0,1,3,1000,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/5.png,这里填汉字,
61200107,瞬间回蓝药60级,1,99,0,0,60,1,0,0,1,3,1000,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/5.png,这里填汉字,
62110001,杀怪经验*1,2,99,2,0,1,1,0,0,1,4,30001,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
62210001,杀怪功法经验*1,2,99,2,0,1,1,0,0,1,4,30011,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/3.png,0,ItemIcon/3.png,这里填汉字,
62120002,杀怪经验*2,2,99,3,0,1,1,0,0,1,4,30002,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/1.png,这里填汉字,
62220002,杀怪功法经验*2,2,99,3,0,1,1,0,0,1,4,30012,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
63100001,人物经验丹,2,99,1,0,1,1,1,0,1,5,1000,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/3.png,0,ItemIcon/3.png,这里填汉字,
63100002,人物经验丹,2,99,1,0,1,1,1,0,1,5,10000,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/1.png,这里填汉字,
63200001,功法经验丹1,2,99,1,0,1,1,1,0,1,6,100,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
63200002,功法经验丹2,2,99,1,0,1,1,1,0,1,6,1000,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
63200003,功法经验丹3,2,99,1,0,1,1,1,0,1,6,500,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
63200004,功法经验丹4,2,99,1,0,1,1,1,0,1,6,5000,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
63300001,法宝经验丹,2,99,1,0,1,1,1,0,1,7,100,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/3.png,0,ItemIcon/3.png,这里填汉字,
63400001,境界经验丹,2,99,1,0,1,1,1,0,1,8,100,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/1.png,这里填汉字,
64000001,功法书1,5,1,4,0,1,1,0,0,1,9,101,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/6.png,这里填汉字,
64000002,功法书2,6,1,4,0,1,1,0,0,1,9,102,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/7.png,这里填汉字,
64000003,功法书3,7,1,4,0,1,1,0,0,1,9,103,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/8.png,这里填汉字,
64000004,功法书4,8,1,4,0,1,1,0,0,1,9,104,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/6.png,这里填汉字,
64000005,功法书5,9,1,4,0,1,1,0,0,1,9,105,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/7.png,这里填汉字,
64000006,功法书6,9,1,4,0,1,1,0,0,1,9,106,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/8.png,这里填汉字,
64000007,功法书7,9,1,4,0,1,1,0,0,1,9,107,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/6.png,这里填汉字,
64000008,功法书8,9,1,4,0,1,1,0,0,1,9,108,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/7.png,这里填汉字,
64000009,功法书9,9,1,4,0,1,1,0,0,1,9,109,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/8.png,这里填汉字,
64000010,功法书10,9,1,4,0,1,1,0,0,1,9,110,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/6.png,这里填汉字,
64000011,功法书11,9,1,4,0,1,1,0,0,1,9,111,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/7.png,这里填汉字,
64000012,功法书12,9,1,4,0,1,1,0,0,1,9,112,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/8.png,这里填汉字,
64000013,功法书13,9,1,4,0,1,1,0,0,1,9,113,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/8.png,这里填汉字,
65000001,玄冰烈火鼎,5,1,0,0,1,1,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/1.png,这里填汉字,
65000002,无象魔铃,5,1,1,0,1,1,0,0,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
65000003,散魂幛,5,1,2,0,1,1,0,0,1,10,3,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
65000004,纯阳神火鉴,5,1,3,0,1,1,0,0,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
65000005,四象宝塔,5,1,4,0,1,1,0,0,1,10,5,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
65000006,捆仙锁,5,1,4,0,1,1,0,0,1,10,6,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
65000007,玄冥冰晶,5,1,0,0,1,1,0,0,1,10,7,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
65000008,斗魔真炎,5,1,1,0,1,1,0,0,1,10,8,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
65000009,金刚目,5,1,2,0,1,1,0,0,1,10,9,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
65000010,三昧真火,5,1,3,0,1,1,0,0,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
65000011,千机伞,5,1,4,0,1,1,0,0,1,10,11,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
65000012,潜龙令,5,1,4,0,1,1,0,0,1,10,12,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
65000013,风火靴,5,1,0,0,1,1,0,0,1,10,13,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
65000014,金碧环,5,1,1,0,1,1,0,0,1,10,14,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
65000015,银凌仙衣,5,1,2,0,1,1,0,0,1,10,15,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
65000016,天庭甲,5,1,3,0,1,1,0,0,1,10,16,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
65000017,鬼面镜,5,1,4,0,1,1,0,0,1,10,17,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
65000018,天罗地网,5,1,4,0,1,1,0,0,1,10,18,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
65000019,乾坤护命纱,5,1,0,0,1,1,0,0,1,10,19,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
65000020,九子魂魄,5,1,1,0,1,1,0,0,1,10,20,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
65000021,九阴灵符,5,1,2,0,1,1,0,0,1,10,21,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
65000022,观音净瓶,5,1,3,0,1,1,0,0,1,10,22,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
65000023,仙灵瓶,5,1,4,0,1,1,0,0,1,10,23,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
65000024,神仙酒,5,1,4,0,1,1,0,0,1,10,24,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
66000001,器灵书1,5,1,4,0,1,1,0,0,1,11,52000001,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
66000002,器灵书2,5,1,4,0,1,1,0,0,1,11,52000002,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
67000001,礼包,1,1,4,3600,1,1,0,0,1,12,30008,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
68100001,游戏币兑换1,3,99,2,0,1,1,1,0,1,13,100,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
68100002,游戏币兑换2,3,99,2,0,1,1,1,0,1,13,100,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
68100003,游戏币兑换3,3,99,2,0,1,1,1,0,1,13,100,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
68200001,充值货币兑换1,20,99,1,0,1,1,1,0,1,14,100,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
68200002,充值货币兑换2,20,99,1,0,1,1,1,0,1,14,100,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
68200003,充值货币兑换3,20,99,1,0,1,1,1,0,1,14,100,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
68300001,绑定货币兑换1,20,99,1,0,1,1,1,0,1,15,100,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
68300002,绑定货币兑换2,20,99,1,0,1,1,1,0,1,15,100,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
68300003,绑定货币兑换3,20,99,1,0,1,1,1,0,1,15,100,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
68400001,竞技场货币兑换1,20,99,1,0,1,1,1,0,1,16,100,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
68400002,竞技场货币兑换2,20,99,1,0,1,1,1,0,1,16,100,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
68400003,竞技场货币兑换3,20,99,1,0,1,1,1,0,1,16,100,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
68500001,战场货币兑换1,20,99,1,0,1,1,1,0,1,17,200,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/1.png,这里填汉字,
68500002,战场货币兑换2,20,99,1,0,1,1,1,0,1,17,200,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/1.png,这里填汉字,
68500003,战场货币兑换3,20,99,1,0,1,1,1,0,1,17,200,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/1.png,这里填汉字,
72000001,灵石,30,99,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
72000002,筑基丹,30,99,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/3.png,0,ItemIcon/3.png,这里填汉字,
72000003,结丹石,30,99,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/1.png,这里填汉字,
72000004,逍遥丹,30,99,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
72000005,婴变仙丹,30,99,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
72000006,道德经,30,99,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/3.png,0,ItemIcon/3.png,这里填汉字,
72000007,一丝本源,30,99,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/1.png,这里填汉字,
73000001,升星石,30,99,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
74000001,大喇叭,50,99,4,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/1.png,这里填汉字,
80000001,仙鹤之羽,20,99,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
81000001,孔雀神羽,30,99,4,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/3.png,0,ItemIcon/3.png,这里填汉字,
82000001,凤凰之羽,40,99,4,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/1.png,这里填汉字,
83000001,青鸾之羽,50,99,4,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
84000001,蛟龙之翼,60,99,4,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/3.png,0,ItemIcon/3.png,这里填汉字,
85000001,瑶池仙羽,70,99,4,0,1,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/1.png,0,ItemIcon/1.png,这里填汉字,
86000001,霓仙之羽,80,99,4,0,1,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
87000001,鲲鹏仙翼,90,99,4,0,1,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
88000001,精卫神翼,100,99,4,0,1,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
89000001,金乌神翼,110,99,4,0,1,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
90000001,任务道具,0,1,4,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ItemIcon/2.png,0,ItemIcon/2.png,这里填汉字,
